2026/07/22 18:44:58.280, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
2026/07/22 18:44:58.491, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
2026/07/22 18:44:58.691, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
2026/07/22 18:44:58.891, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
2026/07/22 18:44:59.091, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
2026/07/22 18:44:59.291, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
2026/07/22 18:44:59.491, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
2026/07/22 18:44:59.691, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
2026/07/22 18:44:59.891, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
2026/07/22 18:45:00.092, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
2026/07/22 18:45:00.292, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
2026/07/22 18:45:00.492, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
2026/07/22 18:45:00.692, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
2026/07/22 18:45:00.892, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
2026/07/22 18:45:01.092, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
2026/07/22 18:45:01.293, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
2026/07/22 18:45:01.493, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
2026/07/22 18:45:01.693, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
2026/07/22 18:45:01.893, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
2026/07/22 18:45:02.093, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
2026/07/22 18:45:02.293, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
2026/07/22 18:45:02.493, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
2026/07/22 18:45:02.694, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
2026/07/22 18:45:02.894, 1, GPU-ce371efa-d785-317a-c922-c09f545873e4, 24576, 9710, 14329, 0
